@@,itemlabel,item,startdate,enddate
+++,Benedict Tan Chi'-Loong,,2011-10-10,2015-08-25
->,Halimah Yacob,Q5642345,2011-10-10,2015-08-24->2015-08-25
+++,Hawazi Daipi,,2011-10-10,2015-08-25
+++,K. Karthikeyan,,2011-10-10,2015-08-25
+++,Kuik Shiao-Yin,,2011-10-10,2015-08-25
+++,Laurence Lien Tsung Chern,,2011-10-10,2015-08-25
->,Lee Hsien Loong,Q57643,2011-10-10,NULL->2015-08-25
+++,Lim Wee Kiak,Q55753594,2011-10-10,2015-08-25
+++,Mary Liew Kiah Eng,,2011-10-10,2015-08-25
+++,Mohd Ismail bin Hussein,,2011-10-10,2015-08-25
+++,Nicholas Fang Kuo Wei,,2011-10-10,2015-08-25
+++,Ong Teng Koon,,2011-10-10,2015-08-25
+++,Ramasamy Dhinakaran,,2011-10-10,2015-08-25
+++,Randolph Tan Gee Kwang,,2011-10-10,2015-08-25
+++,Rita Soh Siow Lan,,2011-10-10,2015-08-25
+++,Seah Kian Peng,Q55752957,2011-10-10,2015-08-25
+++,Tan Su Shan,,2011-10-10,2015-08-25
+++,Teo Siong Seng,,2011-10-10,2015-08-25
+++,Thomas Chua Kee Seng,,2011-10-10,2015-08-25
