@@,itemlabel,item,startdate,enddate
->,David Ong,Q16194240,2016-01-15,2016-03-12->2020-06-23
->,Dennis Tan Lip Fong->Dennis Tan,Q55767889,2016-01-15,2020-06-23
->,Halimah Yacob,Q5642345,2016-01-15,2017-08-07->2020-06-23
->,K Thanaletchimi->K. Thanaletchimi,Q29093145,2016-03-22->2016-01-15,2020-06-23
->,Lee Hsien Loong,Q57643,2016-01-15,NULL->2020-06-23
->,Mahdev Mohan,Q51571528,2016-03-22->2016-01-15,2020-06-23
---,Randolph Tan,Q55767964,2016-01-15,2020-06-23
+++,Randolph Tan Gee Kwang,,2016-01-15,2020-06-23
+++,Walter Edgar Theseira,,2016-01-15,2020-06-23
---,Walter Theseira,Q92614104,2016-01-15,2020-06-23
->,Yip Pin Xiu,Q8053798,2018-09-22->2016-01-15,2020-06->2020-06-23
